10cc/Dreadlock Holiday.2.mid	4 100
Bryan Adams/Have Ever You Really Loved a Woman_.2.mid	4 35
Bryan Adams/Have Ever You Really Loved a Woman_.3.mid	4 24
Bryan Adams/Heaven.4.mid	4 85
Bryan Adams/I Finally Found Someone.2.mid	5 58
Bryan Adams/I Finally Found Someone.2.mid	6 0
Bryan Adams/I Finally Found Someone.2.mid	7 5
Bryan Adams/I Finally Found Someone.2.mid	8 0
Bryan Adams/Please Forgive Me.2.mid	4 11 
Bryan Adams/Please Forgive Me.mid	4 11
Bryan Adams/Rock Steady.mid	4 65
Bryan Adams/Summer of '69.2.mid	4 62
Bryan Adams/Summer of '69.5.mid	4 66
Buck Owens/Under Your Spell Again.mid	1 11
Buddy Holly/Everyday.mid	4 18
Buddy Holly/It's So Easy.mid	7 24
Buddy Holly/Peggy Sue.mid	1 57
Buddy Holly/Peggy Sue.mid	2 65
Buffalo Springfield/Sit Down I Think I Love You.mid	4 60
Buggles/Video Killed the Radio Star.mid	4 71
Burt Bacharach/What's New Pussycat_.mid	1 64
Busta Rhymes/Put Your Hands Where My Eyes Could See.mid	-1 -1
Buzz Clifford/Baby Sittin' Boogie.mid	1 35
Byrd Charlie/The Girl From Ipanema.mid	1 21
C'est Tout/Ole In The USA.mid	4 35
C'est Tout/Tutti Di No No.mid	4 26
C.J. Lewis/Sweets for My Sweet.mid	4 65
CB Milton/It's a Love Thing.mid	4 35
CHRISTIE,TONY/Amarillo.1.mid	1 56
CHRISTIE,TONY/Calypso and Rum.mid	4 59
CHRISTIE,TONY/Sweet September.mid	1 73
CORDALIS,COSTA/Shangri-La.mid	1 24
Camaleonti/Applausi.mid	4 18
Canned Heat/Going Up the Country.1.mid	7 11
Captain Hollywood Project/Find Another Way (single mix).mid	15 67
Captain Hollywood Project/Flying High (single mix).mid	4 29
Captain Hollywood Project/Impossible.mid	8 85
Captain Jack/Drill Instructor.1.mid	4 66
Carboni/Ci vuole un fisico bestiale.2.mid	12 11
Carboni/Virtuale.mid	4 11
Carl Douglas/Kung Fu Fighting.mid	1 6
Carl Teike/Alte Kameraden.mid	4 56
Carly Simon/(We Have) No Secrets.mid	3 73
Carly Simon/Attitude Dancing.mid	1 73
Carly Simon/Half a Chance.mid	1 73
Carly Simon/Nobody Does It Better.1.mid	1 24
Carly Simon/Nobody Does It Better.mid	1 0
Carmen Eric/Hungry Eyes.mid	1 82
Carmen Eric/Hungry Eyes.mid	3 52
Carmen Eric/Make Me Lose Control.mid	4 24
Carole King/So Far Away.1.mid	4 82
Carole King/Will You Love Me Tomorrow.mid	1 71
Carole King/Will You Love Me Tomorrow.mid	2 21
Carole King/You've Got a Friend.mid	4 26
Carpenters/Breaking Up Is Hard to Do.mid	16 88
Carpenters/For All We Know.1.mid	4 73
Carpenters/Hurting Each Other.1.mid	4 75
Carpenters/I Kept on Loving You.mid	4 24
Carpenters/I Won't Last A Day Without You.1.mid	4 24
Carpenters/It's Going to Take Sometime.mid	4 24
Carpenters/Jambalaya (On the Bayou).1.mid	1 26
Carpenters/Jambalaya (On the Bayou).mid	4 65
Carpenters/Let Me Be the One.mid	4 73
Carpenters/Please Mister Postman.1.mid	2 66
Carpenters/Please Mister Postman.1.mid	4 66
Carpenters/Rainy Days and Mondays.1.mid	4 26
Carpenters/This Masquerade.1.mid	1 71
Carpenters/This Masquerade.2.mid	1 26
Carpenters/Top of the World.1.mid	4 75
Carpenters/Top of the World.1.mid	7 48
Carpenters/Top of the World.5.mid	1 75
Carpenters/Top of the World.5.mid	7 48
Carpenters/We've Only Just Began.mid	4 73
Cash Johnny/Ballad Of A Teenage Queen.mid	4 21
Cash Johnny/Folsom Prison Blues.mid	15 22
Cash Johnny/Guess Things Happen That Way.mid	4 105
Cash Johnny/I Walk The Line.1.mid	4 26
Cash Johnny/Sunday Mornin' Comin' Down.mid	4 22
Cash Johnny/Sunday Morning Comin' Down (live).mid	1 11
Cats/Let's Dance.mid	1 25
Cats/Vaya Con Dios.mid	1 17
Caught in the Act/My Arms Keep Missing You.mid	4 62
Celentano/Azzurro.2.mid	4 29
Celentano/Azzurro.3.mid	4 29
Celentano/Fumo negli occhi.1.mid	4 73
Celentano/Svalutation.3.mid	4 65
Celentano/Svalutation.mid	4 65
Celentano/Una carezza in un pugno.mid	2 35
Celine Dion/(If There Was) Any Other Way.1.mid	1 24
Celine Dion/(If There Was) Any Other Way.2.mid	4 26
Celine Dion/(If There Was) Any Other Way.mid	1 24
Celine Dion/Because You Loved Me.4.mid	4 71
Celine Dion/Because You Loved Me.6.mid	4 75
Celine Dion/Because You Loved Me.mid	4 73
Celine Dion/Fais Ce que Tu Voudras.mid	3 2
Celine Dion/Immortality.mid	5 26
Celine Dion/Immortality.mid	6 0
Celine Dion/Immortality.mid	7 0
Celine Dion/It's All Coming Back to Me Now (Classic Paradise radio mix #2).mid	5 26
Celine Dion/It's All Coming Back to Me Now (Classic Paradise radio mix #2).mid	6 0
Celine Dion/It's All Coming Back to Me Now (Classic Paradise radio mix #2).mid	7 0
Celine Dion/My Heart Will Go On.2.mid	6 2
Celine Dion/My Heart Will Go On.4.mid	14 11
Celine Dion/Pour que tu m'aimes encore.1.mid	4 65
Celine Dion/Power of Love.1.mid	4 73
Celine Dion/Power of Love.3.mid	16 103
Celine Dion/Power of Love.4.mid	1 5
Celine Dion/Power of Love.6.mid	1 103
Celine Dion/Power of Love.8.mid	1 103
Celine Dion/Think Twice.1.mid	1 65
Celine Dion/Think Twice.2.mid	2 11
Celine Dion/Think Twice.3.mid	2 11
Celine Dion/Think Twice.5.mid	1 65
Celine Dion/Vole.mid	4 73
Celine Dion/When I Fall In Love.mid	4 65
Celine Dion/When I Need You.1.mid	16 11
Celine Dion/When I Need You.mid	16 11
Celine Dion/Zora sourit.mid	4 71
Centory/The Spirit.mid	4 61
Chaka Khan/This Is My Night.mid	4 80
Champs/Tequila.3.mid	4 66
Charles & Eddie/Would I Lie to You.1.mid	1 68
Charles & Eddie/Would I Lie to You.2.mid	4 87
Charles Aznavour/Tu t'laisses aller.mid	4 66
Charlie Rich/She Called Me Baby.mid	1 26
Charlie Rich/The Most Beautiful Girl.mid	1 22
Cheap Trick/Can't Stop Fallin' Into Love.mid	1 0
Cheap Trick/Dream Police.mid	4 80
Checker Chubby/Let's Twist Again.3.mid	1 0
Cher/Bang Bang (My Baby Shot Me Down).mid	4 60
Cher/I Got You Babe.mid	1 73
Cher/Shoop Shoop Song.1.mid	1 53
Cher/Shoop Shoop Song.mid	1 11
Chicago/25 or 6 to 4.2.mid	11 54
Chicago/After the Love Has Gone (live, 2004).mid	4 24
Chicago/Colour My World.mid	1 24
Chicago/Feelin' Stronger Every Day.mid	1 60
Chicago/If You Leave Me Now.1.mid	1 103
Chicago/If You Leave Me Now.3.mid	1 103
Chicago/If You Leave Me Now.4.mid	4 26
Chip Taylor/Wild Thing.mid	1 80
Chocolate/Everybody Salsa.mid	1 11
Chris Andrews/Pretty Belinda.mid	1 75
Chris Andrews/Yesterday Man.mid	6 99
Chris Montez/Let's Dance.2.mid	4 65
Chris Montez/Let's Dance.mid	6 56
Chris Norman/Midnight Lady.mid	1 57
Chris Rea/Auf immer und ewig.mid	1 73
Chris Rea/Curse of the Traveller.1.mid	13 85
Chris Rea/Fool (If You Think It's Over).1.mid	2 72
Chris Rea/Fool (If You Think It's Over).mid	2 72
Chris Rea/It's All Gone.1.mid	7 44
Chris Rea/Josephine.1.mid	1 73
Chris Rea/Josephine.2.mid	13 73
Chris Rea/Julia.mid	1 22
Chris Rea/Let's Dance.2.mid	1 5
Chris Rea/Little Blonde Plaits.mid	7 73
Chris Rea/Loving You.1.mid	12 1
Chris Rea/On the Beach.3.mid	7 44
Chris Rea/Two Roads.1.mid	8 18
Chris Rea/Two Roads.mid	12 85
Chris de Burgh/Blond Hair, Blue Jeans.mid	4 82
Chris de Burgh/Lady in Red.1.mid	4 24
Christie Lou/Lightning Strikes Again.mid	6 18
Christie/Yellow River.mid	1 65
Christopher Cross/Ride Like The Wind.2.mid	4 65
Christopher Cross/Sailing.4.mid	1 24
Christopher Cross/Sailing.mid	4 74
Chuck Berry/Johnny B Goode.2.mid	4 81
Chuck Berry/Johnny B Goode.6.mid	4 26
Chuck Berry/Johnny B Goode.mid	4 17
Chuck Berry/Johnny B. Goode (alternate take 23).mid	4 26
Chuck Mangione/Feels So Good.mid	4 56
Chyp-notic/I Can't Get Enough.1.mid	1 72
Cilla Black/Anyone Who Had a Heart.mid	4 69
Cindy & Bert/Spaniens Gitarren.mid	4 40
Cliff Richard/We Don't Talk Anymore.1.mid	4 65
Cliff Richard/We Don't Talk Anymore.mid	4 65
Clouseau/Daar gaat ze.1.mid	8 73
Clouseau/Daar gaat ze.mid	8 26
Clouseau/Laat me nu toch niet alleen.mid	4 27
Clouseau/Zie me graag.mid	4 35
Clout/Save Me.mid	4 65
Cocciante/Celeste nostalgia.mid	4 21
Cole Porter/Anything Goes.mid	1 65
Cole Porter/Anything Goes.mid	1 65
Cole Porter/Just One of Those Things.mid	1 22
Cole Porter/What Is This Thing Called Love.mid	1 22
Collective Soul/December.1.mid	11 54
Collins Phil/A Groovy Kind of Love.3.mid	1 0
Collins Phil/A Groovy Kind of Love.4.mid	1 22
Collins Phil/Against All Odds.3.mid	1 26
Collins Phil/Another Day in Paradise.6.mid	4 26
Collins Phil/Do You Remember.mid	1 74
Collins Phil/Inside Out.mid	8 57
Collins Phil/One More Night.3.mid	4 73
Collins Phil/One More Night.7.mid	4 5
Collins Phil/Something Happened on the Way to Heaven.mid	1 65
Collins Phil/Sussudio.1.mid	4 81
Collins Phil/Take Me Home.mid	5 88
Collins Phil/Two Hearts.1.mid	11 88
Collins Phil/Two Hearts.mid	1 61
Color Me Badd/I Wanna Sex You Up.mid	6 1
Commodores/Brick House.mid	2 61
Commodores/Easy.1.mid	16 65
Commodores/Night Shift.mid	4 35
Cornelius Brothers/Treat Her Like a Lady.mid	4 87
Corona/Baby Baby.mid	4 62
Corry Konings/Ik wil altijd bij je zijn (feat. Koos Alberts).mid	4 26
Corry Konings/Mooi was die tijd.mid	4 26
Cosmix/Quietsche-Entchen (feat. Ernie).mid	4 5
Crash Test Dummies/Mmm Mmm Mmm.3.mid	7 65
Cream/Badge.mid	4 42
Creedence Clearwater Revival/Born On The Bayou.1.mid	4 16
Creedence Clearwater Revival/Down on the Corner.mid	5 75
Creedence Clearwater Revival/Hey Tonight.1.mid	1 61
Creedence Clearwater Revival/Hey Tonight.3.mid	1 24
Creedence Clearwater Revival/Proud Mary.6.mid	1 61
Creedence Clearwater Revival/Travelin' Band.2.mid	4 65
Crests/Sixteen Candles.mid	6 24
Crosby, Stills, Nash & Young/Carry On.mid	16 77
Crosby, Stills, Nash & Young/Guinnevere.mid	1 24
Crosby, Stills, Nash & Young/Marrakesh Express.mid	1 87
Crow Sheryl/If It Makes You Happy.mid	4 87
Crusaders/Streetlife.1.mid	4 65
Crystal Gayle/Don't It Make My Brown Eyes Blue.mid	1 11
Crystal Waters/100% Pure Love.mid	4 82
Crystals/(and) Then He Kissed Me.mid	4 26
Crystals/Da Doo Ron Ron.1.mid	1 65
Crystals/Da Doo Ron Ron.2.mid	4 17
Culture Beat/Crying in the Rain.mid	9 11
Culture Beat/Got to Get It.2.mid	4 11
Curtis Lee/Pretty Little Angel Eyes.mid	1 66
Cutting Crew/(I Just) Died in Your Arms.mid	4 53
DJ Paul Elstak/The Promised Land.mid	4 35
DULFER, CANDY/Lili Was Here.mid	1 65
Dalla Lucio/Anna e Marco.mid	3 5
Dalla/Chissa se lo sai.mid	0 
Dan Hill/Somethime When We Touch.mid	1 1
Daniel/Der Sommer, als Jenny sich verliebte.mid	1 75
Daniele/Alleria.1.mid	4 73
Daniele/Neve al sole.1.mid	7 18
Danny & The Juniors/At the Hop.1.mid	1 65
Danny & The Juniors/At the Hop.1.mid	9 64
Danny & The Juniors/At the Hop.3.mid	4 65
Darin Bobby/Splish Splash.mid	1 56
Dave Matthews Band/Ants Marching.mid	5 1
Dave Matthews Band/Crash Into Me.mid	1 85
David Essex/Everlasting Love.mid	16 65
De Deurzakkers/Doe 'n stapje naar voren.mid	4 26
De Deurzakkers/Moeder het is weer mis.mid	4 26
De Deurzakkers/Wij vieren feest.1.mid	4 66
De Dijk/Als Ze Er Niet Is.mid	4 27
De Dijk/Slow Motion.mid	1 65
De Electronica's/De vogeltjesdans.1.mid	1 21
De Havenzangers/Ik zag het licht.mid	4 35
De Havenzangers/Op Wembley gaan we scoren (Holland goes tsjakkaa!).mid	4 26
Debbie Gibson/Foolish Beat.mid	9 73
Debbie Gibson/Lost in Your Eyes.mid	1 53
Debby Boone/You Light Up My Life.mid	5 4
Dee/Don't Go Breaking My Heart.mid	4 65
Dee/The Legend Of Xanadu.1.mid	1 18
Dee/The Legend Of Xanadu.mid	1 73
Deep Purple/Black Night.mid	1 65
Deep Purple/Child in Time.mid	1 1
Deep Purple/Child in Time.mid	3 7
Deep Purple/Hallelujah.mid	1 87
Deep Purple/Smoke On The Water.1.mid	7 54
Deep Purple/Smoke On The Water.3.mid	1 22
Def Leppard/Love Bites.1.mid	1 73
Def Leppard/Love Bites.2.mid	1 100
Def Leppard/Love Bites.3.mid	1 0
Def Leppard/Love Bites.4.mid	1 29
Del Shannon/Runaway.mid	4 26
Dennie Christian/Besame Mucho.mid	1 75
Depeche Mode/In Your Room.mid	4 0
Depeche Mode/Master and Servant.2.mid	1 44
Depeche Mode/Master and Servant.2.mid	2 44
Depeche Mode/Walking in My Shoes.mid	4 73
Des'ree/Feel So High.mid	4 65
Devo/Whip It.1.mid	0 
Devo/Whip It.2.mid	4 85
Diamond Jim/I Should Have Known Better.mid	4 75
Diana Ross/Theme From Mahogany (Do You Know Where You're Going To_).mid	1 0
Diana Ross/Upside Down.mid	4 65
Die Arzte/Ein Song namens Schunder.mid	4 80
Die Arzte/Friedenspanzer.1.mid	4 62
Die Arzte/Schrei nach Liebe.mid	4 11
Die Fantastischen Vier/Sie Ist Weg.mid	4 39
Dietrich Marlene/Sag mir wo die Blumen sind.mid	4 22
Dion/A Teenager in Love.mid	1 26
Dionne Warwick/Do You Know the Way to San Jose.mid	1 0
Dionne Warwick/I'll Never Fall in Love Again.mid	3 71
Dionne Warwick/I'll Never Love This Way Again.mid	4 58
Dionne Warwick/I'll Never Love This Way Again.mid	5 42
Dionne Warwick/I'll Never Love This Way Again.mid	6 69
Dionne Warwick/I'll Never Love This Way Again.mid	7 68
Dire Straits/Brothers in Arms.1.mid	1 65
Dire Straits/Calling Elvis.2.mid	1 65
Dire Straits/Calling Elvis.3.mid	1 65
Dire Straits/Money For Nothing (Full Length Version).4.mid	4 62
Dire Straits/Money For Nothing (Full Length Version).mid	1 27
Dire Straits/Romeo & Juliet.3.mid	4 71
Dire Straits/Walk Of Life.2.mid	5 66
Dire Straits/Walk Of Life.5.mid	4 87
Dire Straits/Your Latest Trick.1.mid	4 25
Dirotta su Cuba/Liberi di - liberi da.1.mid	4 5
Dolls United/Blechbuchse roll!.mid	4 53
Domino Fats/Blue Monday.mid	4 18
Domino Fats/Blueberry Hill.1.mid	5 67
Domino Fats/Blueberry Hill.2.mid	0 
Domino Fats/Blueberry Hill.3.mid	4 48
Domino Fats/Blueberry Hill.4.mid	4 52
Domino Fats/Blueberry Hill.5.mid	1 1
Domino Fats/Darktown Strutters' Ball.mid	4 3
Domino Fats/Hello Josephine.mid	1 58
Domino Fats/I'm Gonna Be a Wheel Someday.mid	4 26
Domino Fats/I'm Walking.mid	1 99
Domino Fats/When the Saints Go Marchin' In.mid	4 18
Domino Fats/Whole Lotta Loving.mid	4 58
Don Johnson/Heartbeat.mid	1 26
Don McLean/American Pie.2.mid	1 1
Don McLean/And I Love You So.mid	9 11
Don McLean/Vincent.2.mid	1 11
Donna Summer/I Feel Love.1.mid	4 53
Donna Summer/Last Dance.mid	6 11
Donna Summer/McArthur Park.mid	1 84
Donna Summer/McArthur Park.mid	9 27
Donny Osmond/Puppy Love.mid	9 56
Donovan/Mellow Yellow.1.mid	6 25
Doris Day/Que Sera Sera.1.mid	1 21
Dorsey/Besame Mucho.2.mid	1 53
Double Vision/Knockin'.mid	4 30
Double You/Please Don't Go (dub reprise).mid	1 63
Double/The Captain of Her Heart.1.mid	4 11
Dr. Alban/Away From Home (short).mid	4 66
Dr. Alban/It's My Life.mid	1 65
Dr. Alban/It's My Life.mid	2 53
Dr. Hook/A Little Bit More.2.mid	4 35
Dr. Hook/Sexy Eyes.mid	4 48
Dr. John/Right Place Wrong Time.1.mid	4 82
Dr. John/Such a Night.mid	4 60
Drafi Deutscher/Herz an Herz Gefuhl.mid	1 53
Drafi Deutscher/Marmor, Stein und Eisen bricht.mid	1 65
Drifters/Under The Boardwalk.mid	2 105
Droids/The Force, Part I.mid	1 62
Drukwerk/Je Loog Tegen Mij.mid	1 0
Drupi/Piccola e fragile.2.mid	4 58
Duke/I'm So in Love With You.mid	4 65
Duke/I'm So in Love With You.mid	4 65
Dune/Hardcore Vibes.mid	4 53
Dune/I Can't Stop Raving.mid	4 24
Duran Duran/A View To A Kill.2.mid	1 127
Duran Duran/A View To A Kill.mid	1 22
Duran Duran/Come Undone.2.mid	3 65
Duran Duran/Come Undone.2.mid	3 65
Duran Duran/Come Undone.3.mid	3 65
Duran Duran/Come Undone.mid	4 60
Duran Duran/Girls on Film.1.mid	1 65
Duran Duran/Hungry Like a Wolf.1.mid	4 30
Duran Duran/Hungry Like a Wolf.mid	4 26
Duran Duran/Notorious.1.mid	1 65
Duran Duran/Notorious.mid	4 65
Duran Duran/Ordinary World.1.mid	4 11
Dusty Springfield/I Only Want to Be With You.mid	4 73
Dusty Springfield/In Private.mid	1 65
E-Rotic/Fred Come to Bed.mid	4 5
E-Rotic/Sex on the Phone.1.mid	4 75
E-Type/This Is the Way.mid	4 65
Eagles/Best of My Love.mid	6 26
Eagles/Desperado.1.mid	1 88
Eagles/Desperado.1.mid	7 85
Eagles/Desperado.1.mid	8 3
Eagles/Desperado.3.mid	1 71
Eagles/Desperado.4.mid	9 22
Eagles/Desperado.5.mid	6 24
Eagles/Heartache Tonight.mid	5 2
Eagles/Hotel California.mid	4 71
Eagles/Love Will Keep Us Alive.1.mid	1 25
Eagles/Love Will Keep Us Alive.mid	0 
Eagles/Lyin' Eyes.1.mid	9 25
Eagles/Lying Eyes.2.mid	1 26
Eagles/Lying Eyes.mid	6 71
Eagles/New Kid in Town.1.mid	9 71
Eagles/New Kid in Town.2.mid	4 73
Eagles/One of These Nights.1.mid	1 35
Eagles/One of These Nights.mid	6 65
Eagles/Peaceful Easy Feeling.3.mid	1 22
Eagles/Peaceful Easy Feeling.5.mid	1 22
Eagles/Please Come Home for Christmas.mid	4 65
Eagles/Take It Easy.4.mid	9 46
Eagles/Tequila Sunrise.4.mid	6 26
Eagles/Tequila Sunrise.mid	4 24
Eagles/The Best of My Love.mid	6 26
Eagles/Witchy Woman.1.mid	2 65
Eagles/Witchy Woman.2.mid	4 24
Eagles/Witchy Woman.3.mid	9 26
Eagles/Witchy Woman.mid	1 1
Earth, Wind & Fire/After The Love Has Gone.2.mid	4 24
Earth, Wind & Fire/Boogie Wonderland.1.mid	4 24
Earth, Wind & Fire/Fantasy.5.mid	7 53
Earth, Wind & Fire/Fantasy.7.mid	4 24
Earth, Wind & Fire/Fantasy.mid	4 24
Earth, Wind & Fire/Fantasy.mid	5 24
Earth, Wind & Fire/Let's Groove.2.mid	4 82
Earth, Wind & Fire/September (bonus track).3.mid	4 24
Earth, Wind & Fire/Shining Star.2.mid	4 26
Earth, Wind & Fire/Sing A Song (bonus track).2.mid	4 24
Earth, Wind & Fire/That's The Way Of The World.mid	4 24
East 17/Hold My Body Tight.mid	4 29
East 17/Let It Rain.mid	4 65
East Side Beat/Ride Like the Wind.mid	4 26
Ed Townsend/For Your Love.mid	4 73
Ed Townsend/For Your Love.mid	4 73
Eddie Cochran/C'Mon Everybody.mid	3 18
Eddy Duane/Rebel Rouser.mid	4 27
Eiffel 65/Another Race.1.mid	3 87
Electric Light Orchestra/Confusion.mid	1 73
Electric Light Orchestra/Do Ya.mid	1 73
Electric Light Orchestra/Don't Bring Me Down.1.mid	4 60
Electric Light Orchestra/Mr Blue Sky.mid	1 73
Electric Light Orchestra/Rock 'n' Roll Is King.mid	4 75
Electric Light Orchestra/Roll Over Beethoven.mid	1 65
Electric Light Orchestra/Strange Magic.mid	1 73
Electric Light Orchestra/Telephone Line.1.mid	4 82
Ellington/Don't Get Around Much Anymore.1.mid	12 11
Ellington/I'm Beginning to See the Light.mid	12 11
Ellington/Satin Doll.mid	4 11
Ellington/Satin Doll.mid	15 11
Elliot/Make Your Own Kind Of Music.mid	4 75
Elton John/A Word in Spanish.mid	1 26
Elton John/Crocodile Rock.mid	1 65
Elton John/Crocodile Rock.mid	2 67
Elton John/Don't Go Breaking My Heart.mid	1 5
Elvis Costello/Green Shirt.1.mid	6 0
Elvis Presley/(Let Me Be Your) Teddy Bear.5.mid	4 64
Elvis Presley/All Shook Up.2.mid	4 82
Elvis Presley/Always on My Mind.2.mid	1 65
Elvis Presley/Blue Christmas.1.mid	4 49
Elvis Presley/Blue Christmas.1.mid	4 49
Elvis Presley/Blue Suede Shoes.2.mid	4 28
Elvis Presley/Burning Love.mid	4 24
Elvis Presley/Can't Help Falling in Love.6.mid	4 26
Elvis Presley/Can't Help Falling in Love.6.mid	11 89
Elvis Presley/Can't Help Falling in Love.6.mid	11 89
Elvis Presley/Crying In The Chapel.mid	1 16
Elvis Presley/Don't Be Cruel.1.mid	4 66
Elvis Presley/Don't Be Cruel.6.mid	4 18
Elvis Presley/Don't Cry Daddy.mid	3 27
Elvis Presley/Don't Cry Daddy.mid	7 27
Elvis Presley/Down in the Alley.mid	5 30
Elvis Presley/Fools Fall In Love.mid	1 68
Elvis Presley/Good Luck Charm.1.mid	7 25
Elvis Presley/Hard Headed Woman.2.mid	4 57
Elvis Presley/Heartbreak Hotel.2.mid	9 73
Elvis Presley/Hound Dog.mid	1 17
Elvis Presley/I Just Can't Help Believing.2.mid	4 26
Elvis Presley/I Want You I Need You I Love You.mid	4 18
Elvis Presley/It's Now or Never.mid	7 73
Elvis Presley/Jailhouse Rock.7.mid	4 65
Elvis Presley/Just Tell Her Jim Said Hello.mid	5 26
Elvis Presley/Just Tell Her Jim Said Hello.mid	6 0
Elvis Presley/Just Tell Her Jim Said Hello.mid	7 0
Elvis Presley/Kiss Me Quick.1.mid	1 23
Elvis Presley/Let Me Be There.mid	1 0
Elvis Presley/Let Me Be There.mid	2 0
Elvis Presley/Love Me Tender.1.mid	4 73
Elvis Presley/Puppet on a String.mid	5 65
Elvis Presley/Puppet on a String.mid	6 50
Elvis Presley/Puppet on a String.mid	7 25
Elvis Presley/Puppet on a String.mid	8 0
Elvis Presley/Return to Sender.1.mid	4 75
Elvis Presley/Surrender.mid	4 75
Elvis Presley/Suspicious Minds.1.mid	1 26
Elvis Presley/Suspicious Minds.2.mid	1 25
Elvis Presley/Suspicious Minds.4.mid	4 26
Elvis Presley/Too Much.1.mid	4 58
Elvis/Blue Hawaii.mid	1 0
Elvis/Suspicious Minds.mid	1 26
Emerson, Lake & Palmer/Peter Gunn Theme.mid	4 65
Enigma/The Eyes of Truth.mid	4 52
Enya/Caribbean Blue.1.mid	1 46
Equals/Baby Come Back.1.mid	4 65
Equals/Baby Come Back.1.mid	4 65
Erasure/Abba-Esque (Take a Chance On Me).mid	1 24
Erasure/Always.mid	4 82
Eric Carmen/Never Gonna Fall in Love Again.mid	1 18
Eric Clapton/Bad Love.mid	4 54
Eric Clapton/I've Got a Rock 'n' Roll Heart.mid	1 26
Eric Clapton/Lay Down Sally.2.mid	4 64
Eric Clapton/Nobody Knows You When You're Down & Out.mid	1 1
Eric Clapton/Tears in Heaven.1.mid	4 71
Eric Clapton/Tears in Heaven.7.mid	4 71
Ernie K-Doe/Mother -In-Law.mid	4 24
Ernst Neger/Rucki Zucki.1.mid	4 11
Eros Ramazzotti/Adesso tu.mid	1 88
Eros Ramazzotti/Solo con te.mid	4 5
Eros Ramazzotti/Un Altra Te.1.mid	4 71
Estefan Gloria/Can't Stay Away From You.1.mid	1 4
Estefan Gloria/Don't Wanna Lose You.1.mid	1 0
Estefan Gloria/Get on Your Feet.1.mid	6 57
Estefan Gloria/Get on Your Feet.mid	4 18
Estefan Gloria/Hear My Voice.2.mid	4 35
Estefan Gloria/Hear My Voice.4.mid	1 12
Esther Phillips/What A Difference A Day Makes.mid	13 56
Europe/The Final Countdown.mid	1 93
Eurythmics/Don't Ask Me Why.mid	4 0
Eurythmics/Here Comes the Rain Again.2.mid	4 75
Eurythmics/It's Alright (Baby's Coming Back).mid	4 77
Eurythmics/Love Is a Stranger.1.mid	4 38
Eurythmics/Missionary Man.mid	4 0
Eurythmics/Sisters Are Doing It for Themselves.mid	4 75
Eurythmics/Sweet Dreams.1.mid	4 73
Eurythmics/There Must Be an Angel (Playing With My Heart).1.mid	4 75
Eurythmics/Would I Lie To You_.1.mid	4 73
Everclear/Santa Monica.mid	11 30
Everclear/Santa Monica.mid	12 6
Extreme/More Than Words.2.mid	1 74
Extreme/More Than Words.3.mid	1 65
Extreme/More Than Words.3.mid	2 56
Extreme/More Than Words.6.mid	9 73
Extreme/More Than Words.mid	1 74
Faith No More/Easy.1.mid	13 12
Faith/Delicado.mid	1 24
Fats Domino/When the Saints Go Marching In.mid	4 57
First Class/Beach Baby.1.mid	4 87
First Class/Beach Baby.mid	4 81
Fitzgerald Ella/I Can't Give You Anything but Love.mid	4 57
Fleetwood Mac/Affairs of the Heart.1.mid	4 72
Fleetwood Mac/Affairs of the Heart.2.mid	1 60
Fleetwood Mac/Affairs of the Heart.mid	1 73
Fleetwood Mac/Angel.1.mid	1 73
Fleetwood Mac/Angel.mid	1 73
Fleetwood Mac/Don't Stop.mid	4 66
Fleetwood Mac/Dreams.2.mid	4 73
Fleetwood Mac/Dreams.3.mid	1 73
Fleetwood Mac/Dreams.4.mid	1 73
Fleetwood Mac/Dreams.5.mid	1 73
Fleetwood Mac/Everywhere.mid	1 73
Fleetwood Mac/Gold Dust Woman.2.mid	1 73
Fleetwood Mac/Gold Dust Woman.mid	4 73
Fleetwood Mac/Gypsy.1.mid	1 73
Fleetwood Mac/Gypsy.3.mid	1 75
Fleetwood Mac/Gypsy.mid	4 73
Fleetwood Mac/Landslide.1.mid	1 73
Fleetwood Mac/Landslide.2.mid	1 73
Fleetwood Mac/Landslide.3.mid	1 73
Fleetwood Mac/Landslide.mid	4 73
Fleetwood Mac/Man of the World.mid	3 60
Fleetwood Mac/Rhiannon.1.mid	1 73
Fleetwood Mac/Rhiannon.3.mid	1 73
Fleetwood Mac/Rhiannon.4.mid	4 73
Fleetwood Mac/Rhiannon.5.mid	1 73
Fleetwood Mac/Rhiannon.6.mid	1 73
Fleetwood Mac/Sara.1.mid	1 22
Fleetwood Mac/Sara.2.mid	4 25
Fleetwood Mac/Sara.3.mid	1 71
Fleetwood Mac/Say You Love Me.mid	1 73
Fleetwood Mac/Sentimental Lady.mid	5 26
Fleetwood Mac/Silver Springs.1.mid	1 80
Fleetwood Mac/Silver Springs.2.mid	1 82
Fleetwood Mac/Silver Springs.mid	4 27
Fleetwood Mac/Sisters Of The Moon.1.mid	4 73
Fluitsma/15 Miljoen Mensen.mid	4 26
Focus/Hocus Pocus.2.mid	6 53
Fontella Bass/Rescue Me.mid	1 57
Fool's Garden/Lemon Tree.1.mid	4 26
Fool's Garden/Lemon Tree.mid	1 73
Fortunes/You've Got Your Troubles.mid	8 61
Fortunes/You've Got Your Troubles.mid	4 0
Foster David/Winter Games.mid	1 0
Four Tops/Loco in Acapulco.mid	1 65
