file,ismelody,program,instrument,notes,chordratio,avgpitch,pitchrange,rpat,dur,steps
"2 Unlimited/Maximum Overdrive.mid",F,125,Helicopter,1,1.00,65,0,0,2.688,0
"2 Unlimited/Maximum Overdrive.mid",F,125,Helicopter,2,1.00,72,0,1,2.729,0
"2 Unlimited/Maximum Overdrive.mid",F,125,Helicopter,5,1.00,76,0,1,4.133,3
"2 Unlimited/Maximum Overdrive.mid",F,125,Helicopter,1,1.00,72,0,0,11.979,0
"2 Unlimited/No Limit (extended).mid",F,39,Synth Bass 2,1057,1.00,33,14,1,0.177,924
"2 Unlimited/No Limit (extended).mid",F,29,Overdriven Guitar,120,1.00,60,7,2,0.445,65
"2 Unlimited/No Limit (extended).mid",T,26,Electric Guitar (jazz),320,0.79,66,15,11,0.521,55
"2 Unlimited/No Limit (extended).mid",F,48,String Ensemble 1,24,0.33,64,12,1,5.237,0
"2 Unlimited/No Limit (extended).mid",F,30,Distortion Guitar,481,1.00,45,10,1,0.466,140
"2 Unlimited/No Limit (extended).mid",F,30,Distortion Guitar,481,1.00,45,10,1,0.466,140
"2 Unlimited/No Limit (extended).mid",F,87,Lead 8 (bass+lead),937,1.00,66,46,3,0.201,0
"2 Unlimited/No Limit (extended).mid",F,82,Lead 3 (calliope),120,1.00,60,7,2,0.445,65
"2 Unlimited/No One.mid",F,82,Lead 3 (calliope),320,0.29,60,12,6,0.315,184
"2 Unlimited/No One.mid",F,38,Synth Bass 1,416,1.00,37,7,1,0.500,214
"2 Unlimited/No One.mid",F,50,SynthStrings 1,32,0.25,58,21,1,4.003,8
"2 Unlimited/No One.mid",T,35,Fretless Bass,144,0.50,63,12,9,0.716,24
"2 Unlimited/No One.mid",F,70,Bassoon,90,1.00,73,5,2,0.276,23
"2 Unlimited/No One.mid",F,50,SynthStrings 1,32,0.25,58,21,1,4.003,8
"2 Unlimited/No One.mid",F,82,Lead 3 (calliope),284,0.29,60,12,4,0.292,177
"2 Unlimited/No One.mid",F,38,Synth Bass 1,416,1.00,37,7,3,0.500,214
"2 Unlimited/No One.mid",F,11,Vibraphone,100,0.33,62,11,5,0.570,50
"2 Unlimited/No One.mid",F,119,Reverse Cymbal,2,1.00,60,0,1,2.005,0
"2 Unlimited/The Real Thing.2.mid",F,33,Electric Bass (finger),905,1.00,37,17,3,0.500,1
"2 Unlimited/The Real Thing.2.mid",F,19,Church Organ,769,1.00,72,46,1,0.214,71
"2 Unlimited/The Real Thing.2.mid",T,87,Lead 8 (bass+lead),445,0.98,64,24,39,0.482,210
"2 Unlimited/The Real Thing.2.mid",F,82,Lead 3 (calliope),164,1.00,65,12,9,0.643,43
"2 Unlimited/The Real Thing.2.mid",F,16,Drawbar Organ,768,1.00,72,11,1,0.203,71
"2 Unlimited/The Real Thing.2.mid",F,81,Lead 2 (sawtooth),378,1.00,52,19,9,0.503,23
"2 Unlimited/The Real Thing.2.mid",F,0,Acoustic Grand,448,1.00,69,10,1,0.141,206
"2 Unlimited/The Real Thing.2.mid",F,49,String Ensemble 2,40,0.36,72,10,1,4.284,9
"2 Unlimited/The Real Thing.2.mid",F,106,Shamisen,96,1.00,33,0,3,0.219,94
"2 Unlimited/The Real Thing.2.mid",F,18,Rock Organ,1,0.25,59,24,0,4.250,0
"2 Unlimited/The Real Thing.2.mid",F,15,Dulcimer,128,1.00,61,0,1,0.125,110
"2 Unlimited/Twilight Zone.3.mid",F,38,Synth Bass 1,792,1.00,33,5,5,0.419,88
"2 Unlimited/Twilight Zone.3.mid",F,81,Lead 2 (sawtooth),8,0.50,76,12,1,1.531,6
"2 Unlimited/Twilight Zone.3.mid",T,63,SynthBrass 2,8,0.50,60,2,1,1.518,6
"2 Unlimited/Twilight Zone.3.mid",F,94,Pad 7 (halo),1,1.00,70,0,0,3.750,0
"2 Unlimited/Twilight Zone.3.mid",F,55,Orchestra Hit,543,0.75,83,26,3,0.182,214
"2 Unlimited/Twilight Zone.3.mid",F,62,SynthBrass 1,33,1.00,82,4,4,0.701,24
"2 Unlimited/Twilight Zone.3.mid",F,52,Choir Aahs,195,1.00,69,8,4,0.555,32
"2 Unlimited/Twilight Zone.3.mid",F,52,Choir Aahs,120,1.00,62,5,3,0.628,30
"2 Unlimited/Twilight Zone.3.mid",F,53,Voice Oohs,4,1.00,77,0,1,3.688,2
"2 Unlimited/Twilight Zone.3.mid",F,62,SynthBrass 1,543,0.50,63,20,7,0.185,220
"2 Unlimited/Twilight Zone.3.mid",F,124,Telephone ring,8,1.00,82,0,1,1.990,6
"2 Unlimited/Twilight Zone.3.mid",F,50,SynthStrings 1,12,0.33,69,8,1,15.279,10
"2 Unlimited/Twilight Zone.3.mid",F,1,Bright Acoustic,160,0.33,69,12,1,0.344,110
"20 Fingers/Lick It.mid",F,32,Acoustic Bass,225,0.60,40,12,1,0.607,74
"20 Fingers/Lick It.mid",F,63,SynthBrass 2,62,1.00,70,1,2,0.234,31
"20 Fingers/Lick It.mid",T,62,SynthBrass 1,252,1.00,70,7,7,0.302,124
"20 Fingers/Lick It.mid",F,54,Synth Voice,281,0.86,66,20,4,0.362,95
"20 Fingers/Lick It.mid",F,53,Voice Oohs,275,0.86,63,32,4,0.354,96
"20 Fingers/Lick It.mid",F,59,Muted Trumpet,54,1.00,63,6,5,0.315,13
"20 Fingers/Lick It.mid",F,38,Synth Bass 1,583,0.95,63,27,4,0.109,208
"20 Fingers/Lick It.mid",F,87,Lead 8 (bass+lead),800,0.84,66,7,2,0.076,319
"20 Fingers/Lick It.mid",F,80,Lead 1 (square),180,0.50,83,12,1,1.047,178
"20 Fingers/Lick It.mid",F,74,Recorder,348,0.96,69,17,5,0.490,104
"20 Fingers/Lick It.mid",F,2,Electric Grand,28,0.33,60,10,1,0.148,16
"20 Fingers/Lick It.mid",F,119,Reverse Cymbal,18,0.95,31,38,3,0.484,12
"20 Fingers/Short Dick Man.mid",F,80,Lead 1 (square),332,1.00,32,8,2,0.760,91
"20 Fingers/Short Dick Man.mid",F,119,Reverse Cymbal,138,1.00,94,0,4,0.562,136
"20 Fingers/Short Dick Man.mid",T,47,Timpani,111,1.00,63,4,5,0.307,59
"20 Fingers/Short Dick Man.mid",F,121,Breath Noise,164,1.00,36,17,2,0.276,13
"20 Fingers/Short Dick Man.mid",F,124,Telephone ring,52,1.00,68,16,8,0.286,15
"20 Fingers/Short Dick Man.mid",F,125,Helicopter,57,1.00,63,31,9,0.326,18
"20 Fingers/Short Dick Man.mid",F,8,Celesta,163,1.00,63,6,6,0.365,54
"20 Fingers/Short Dick Man.mid",F,125,Helicopter,4,1.00,60,0,1,15.068,2
"20 Fingers/Short Dick Man.mid",F,0,Acoustic Grand,40,0.95,76,24,3,0.482,0
"20 Fingers/Short Dick Man.mid",F,100,FX 5 (brightness),5,0.33,39,12,1,4.185,3
"4 Non Blondes/What's Up.3.mid",F,30,Distortion Guitar,491,0.44,56,28,17,0.581,113
"4 Non Blondes/What's Up.3.mid",F,33,Electric Bass (finger),455,0.96,36,24,31,0.448,172
"4 Non Blondes/What's Up.3.mid",F,25,Acoustic Guitar (steel),953,0.44,59,27,17,0.328,442
"4 Non Blondes/What's Up.3.mid",T,25,Acoustic Guitar (steel),409,0.98,66,24,41,0.406,96
"4 Non Blondes/What's Up.3.mid",F,25,Acoustic Guitar (steel),945,0.44,56,22,17,0.318,453
"4 Non Blondes/What's Up.3.mid",F,0,Acoustic Grand,50,1.00,62,3,3,0.310,19
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,358,1.00,37,19,8,0.589,106
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,68,0.99,61,21,2,0.229,11
"883/Come mai (feat. Fiorello).1.mid",T,0,Acoustic Grand,468,1.00,68,23,32,0.432,77
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,6,0.33,68,8,2,2.984,4
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,22,0.35,62,17,4,2.406,4
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,224,0.41,64,44,18,1.589,25
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,138,1.00,68,8,3,0.318,33
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,357,0.41,62,43,27,0.917,64
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,96,1.00,80,20,5,0.276,4
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,78,0.49,57,21,5,1.745,30
"883/Come mai (feat. Fiorello).1.mid",F,0,Acoustic Grand,3,1.00,60,0,2,1.635,1
"883/Tieni il tempo.mid",F,38,Synth Bass 1,546,1.00,32,7,2,0.451,251
"883/Tieni il tempo.mid",F,11,Vibraphone,408,0.33,64,17,2,0.250,48
"883/Tieni il tempo.mid",T,73,Flute,467,1.00,73,12,35,0.380,136
"883/Tieni il tempo.mid",F,7,Clav,64,1.00,82,5,3,0.344,8
"883/Tieni il tempo.mid",F,7,Clav,286,1.00,68,7,2,0.451,131
"883/Tieni il tempo.mid",F,25,Acoustic Guitar (steel),364,1.00,52,19,1,1.279,52
"883/Tieni il tempo.mid",F,61,Brass Section,362,0.50,65,21,5,0.255,116
"883/Tieni il tempo.mid",F,65,Alto Sax,22,1.00,70,9,3,0.427,5
"883/Tieni il tempo.mid",F,21,Accordian,230,0.50,66,21,2,0.297,60
"883/Tieni il tempo.mid",F,72,Piccolo,109,1.00,83,12,2,0.323,52
"883/Tieni il tempo.mid",F,51,SynthStrings 2,160,0.50,58,12,1,3.000,0
"883/Una canzone d'amore.1.mid",F,33,Electric Bass (finger),419,1.00,31,17,23,0.641,242
"883/Una canzone d'amore.1.mid",F,0,Acoustic Grand,451,0.36,59,30,9,0.508,90
"883/Una canzone d'amore.1.mid",T,73,Flute,518,1.00,73,10,15,0.401,165
"883/Una canzone d'amore.1.mid",F,16,Drawbar Organ,168,0.41,71,45,12,2.714,5
"883/Una canzone d'amore.1.mid",F,25,Acoustic Guitar (steel),1126,0.21,61,26,24,0.344,576
"883/Una canzone d'amore.1.mid",F,27,Electric Guitar (clean),343,1.00,63,9,4,1.117,7
"883/Una canzone d'amore.1.mid",F,48,String Ensemble 1,66,0.36,64,12,3,0.292,37
"883/Una canzone d'amore.1.mid",F,46,Orchestral Strings,60,1.00,61,12,1,0.125,0
"911/The Day We Find Love.mid",F,98,FX 3 (crystal),142,1.00,67,26,11,0.825,9
"911/The Day We Find Love.mid",F,92,Pad 5 (bowed),74,1.00,71,26,10,0.850,5
"911/The Day We Find Love.mid",F,5,Electric Piano 2,265,0.41,58,31,15,1.400,83
"911/The Day We Find Love.mid",F,6,Harpsichord,296,1.00,60,16,9,0.717,41
"911/The Day We Find Love.mid",F,33,Electric Bass (finger),333,0.96,33,14,27,0.792,152
"911/The Day We Find Love.mid",T,100,FX 5 (brightness),373,1.00,60,24,32,0.700,37
"911/The Day We Find Love.mid",F,50,SynthStrings 1,126,0.66,76,27,20,1.317,25
"911/The Day We Find Love.mid",F,66,Tenor Sax,30,1.00,75,17,4,0.508,4
"911/The Day We Find Love.mid",F,14,Tubular Bells,52,1.00,91,43,1,0.167,0
"911/The Day We Find Love.mid",F,122,Seashore,7,1.00,72,8,4,3.508,0
"98 Degrees/She's Out of My Life.mid",F,35,Fretless Bass,125,0.99,39,22,20,1.510,9
"98 Degrees/She's Out of My Life.mid",F,4,Electric Piano 1,273,0.38,60,50,36,0.927,9
"98 Degrees/She's Out of My Life.mid",T,69,English Horn,169,1.00,72,26,26,0.771,20
"98 Degrees/She's Out of My Life.mid",F,49,String Ensemble 2,47,0.41,60,43,10,1.885,4
"98 Degrees/She's Out of My Life.mid",F,25,Acoustic Guitar (steel),207,0.57,58,35,30,1.604,8
"ABBA/Another Town, Another Train.mid",F,24,Acoustic Guitar (nylon),417,0.55,69,35,17,1.000,140
"ABBA/Another Town, Another Train.mid",F,32,Acoustic Bass,360,1.00,44,17,9,1.067,229
"ABBA/Another Town, Another Train.mid",T,73,Flute,295,0.62,67,19,12,1.033,119
"ABBA/Another Town, Another Train.mid",F,73,Flute,206,0.43,75,29,8,0.583,24
"ABBA/Another Town, Another Train.mid",F,0,Acoustic Grand,417,0.55,69,35,17,1.000,140
"ABBA/Dance (While the Music Still Goes on).1.mid",T,73,Flute,425,0.86,70,22,24,0.935,121
"ABBA/Dance (While the Music Still Goes on).1.mid",F,33,Electric Bass (finger),295,0.97,46,21,6,1.206,205
"ABBA/Dance (While the Music Still Goes on).1.mid",F,25,Acoustic Guitar (steel),549,0.33,60,27,17,0.971,131
"ABBA/Dance (While the Music Still Goes on).1.mid",F,50,SynthStrings 1,5,0.42,66,25,1,5.706,0
"ABBA/Dance (While the Music Still Goes on).1.mid",F,25,Acoustic Guitar (steel),345,0.33,52,23,5,1.056,262
"ABBA/Dance (While the Music Still Goes on).1.mid",F,84,Lead 5 (charang),182,0.33,64,23,1,0.375,107
"ABBA/Dance (While the Music Still Goes on).1.mid",F,0,Acoustic Grand,134,0.33,62,17,3,2.760,34
"ABBA/Dance (While the Music Still Goes on).1.mid",F,54,Synth Voice,424,0.86,70,27,25,0.935,122
"ABBA/Dance (While the Music Still Goes on).3.mid",T,73,Flute,425,0.86,70,22,24,0.935,121
"ABBA/Dance (While the Music Still Goes on).3.mid",F,33,Electric Bass (finger),295,0.97,46,21,6,1.206,205
"ABBA/Dance (While the Music Still Goes on).3.mid",F,25,Acoustic Guitar (steel),549,0.33,60,27,17,0.971,131
"ABBA/Dance (While the Music Still Goes on).3.mid",F,50,SynthStrings 1,5,0.42,66,25,1,5.706,0
"ABBA/Dance (While the Music Still Goes on).3.mid",F,25,Acoustic Guitar (steel),345,0.33,52,23,5,1.056,262
"ABBA/Dance (While the Music Still Goes on).3.mid",F,84,Lead 5 (charang),182,0.33,64,23,1,0.375,107
"ABBA/Dance (While the Music Still Goes on).3.mid",F,0,Acoustic Grand,134,0.33,62,17,3,2.760,34
"ABBA/Dance (While the Music Still Goes on).3.mid",F,54,Synth Voice,424,0.86,70,27,25,0.935,122
"ABBA/Dancing Queen.4.mid",F,33,Electric Bass (finger),687,1.00,36,22,28,0.402,289
"ABBA/Dancing Queen.4.mid",F,1,Bright Acoustic,345,0.26,63,49,15,0.662,268
"ABBA/Dancing Queen.4.mid",T,94,Pad 7 (halo),291,1.00,66,21,21,0.783,84
"ABBA/Dancing Queen.4.mid",F,48,String Ensemble 1,223,0.93,77,50,10,0.648,38
"ABBA/Dancing Queen.4.mid",F,94,Pad 7 (halo),186,0.96,64,16,14,0.960,82
"ABBA/Dancing Queen.4.mid",F,52,Choir Aahs,178,0.96,70,21,16,1.750,28
"ABBA/Dancing Queen.4.mid",F,90,Pad 3 (polysynth),189,0.33,61,24,7,1.652,102
"ABBA/Dancing Queen.4.mid",F,105,Banjo,813,0.50,64,12,3,0.083,362
"ABBA/Dancing Queen.4.mid",F,1,Bright Acoustic,169,0.34,82,35,10,0.756,57
"ABBA/Dancing Queen.7.mid",F,1,Bright Acoustic,375,0.38,70,67,26,0.674,165
"ABBA/Dancing Queen.7.mid",F,35,Fretless Bass,751,1.00,35,21,23,0.349,255
"ABBA/Dancing Queen.7.mid",F,62,SynthBrass 1,48,1.00,76,12,2,0.326,3
"ABBA/Dancing Queen.7.mid",T,24,Acoustic Guitar (nylon),279,1.00,66,21,25,0.711,84
"ABBA/Dancing Queen.7.mid",F,4,Electric Piano 1,304,0.65,65,22,26,1.099,90
"ABBA/Dancing Queen.7.mid",F,52,Choir Aahs,49,1.00,70,17,11,1.417,2
"ABBA/Dancing Queen.7.mid",F,27,Electric Guitar (clean),854,0.49,62,17,23,0.315,303
"ABBA/Dancing Queen.7.mid",F,48,String Ensemble 1,101,0.47,61,17,7,4.057,7
"ABBA/Dancing Queen.7.mid",F,48,String Ensemble 1,145,0.68,77,26,9,1.044,21
"ABBA/Dancing Queen.7.mid",F,27,Electric Guitar (clean),531,0.60,58,12,17,0.323,203
"ABBA/Dancing Queen.7.mid",F,28,Electric Guitar (muted),378,0.99,54,16,8,0.148,133
"ABBA/Dancing Queen.7.mid",F,64,Soprano Sax,18,1.00,72,5,5,1.708,1
"ABBA/Dancing Queen.7.mid",F,29,Overdriven Guitar,57,1.00,41,5,6,1.273,33
"ABBA/Dancing Queen.8.mid",T,85,Lead 6 (voice),276,1.00,67,17,24,0.729,79
"ABBA/Dancing Queen.8.mid",F,48,String Ensemble 1,301,0.44,70,26,20,0.786,69
"ABBA/Dancing Queen.8.mid",F,0,Acoustic Grand,218,0.45,70,56,21,0.370,101
"ABBA/Dancing Queen.8.mid",F,32,Acoustic Bass,496,1.00,44,15,21,0.495,416
"ABBA/Dancing Queen.8.mid",F,87,Lead 8 (bass+lead),51,1.00,78,10,2,0.339,4
"ABBA/Dancing Queen.mid",T,85,Lead 6 (voice),276,1.00,67,17,24,0.729,79
"ABBA/Dancing Queen.mid",F,48,String Ensemble 1,301,0.44,70,26,20,0.786,69
"ABBA/Dancing Queen.mid",F,0,Acoustic Grand,218,0.45,70,56,21,0.370,101
"ABBA/Dancing Queen.mid",F,32,Acoustic Bass,496,1.00,44,15,21,0.495,416
"ABBA/Dancing Queen.mid",F,87,Lead 8 (bass+lead),51,1.00,78,10,2,0.339,4
"ABBA/Does Your Mother Know.2.mid",F,1,Bright Acoustic,760,0.25,57,48,3,0.318,280
"ABBA/Does Your Mother Know.2.mid",F,33,Electric Bass (finger),883,1.00,34,20,20,0.357,322
"ABBA/Does Your Mother Know.2.mid",F,29,Overdriven Guitar,548,0.54,54,29,11,0.503,185
"ABBA/Does Your Mother Know.2.mid",T,73,Flute,410,1.00,62,17,34,0.544,151
"ABBA/Does Your Mother Know.2.mid",F,72,Piccolo,424,0.40,66,25,28,0.630,262
"ABBA/Does Your Mother Know.2.mid",F,39,Synth Bass 2,182,0.71,39,14,2,0.255,101
"ABBA/Does Your Mother Know.2.mid",F,53,Voice Oohs,181,1.00,43,2,2,0.232,102
"ABBA/Does Your Mother Know.2.mid",F,7,Clav,138,1.00,63,24,5,0.279,66
"ABBA/Does Your Mother Know.2.mid",F,64,Soprano Sax,57,1.00,68,3,4,0.617,16
"ABBA/Does Your Mother Know.2.mid",F,67,Baritone Sax,236,0.90,49,26,4,0.565,37
"ABBA/Does Your Mother Know.2.mid",F,53,Voice Oohs,181,1.00,43,2,2,0.232,101
"ABBA/Does Your Mother Know.3.mid",F,1,Bright Acoustic,760,0.25,57,48,3,0.312,280
"ABBA/Does Your Mother Know.3.mid",F,33,Electric Bass (finger),883,1.00,34,20,20,0.354,322
"ABBA/Does Your Mother Know.3.mid",F,29,Overdriven Guitar,548,0.54,54,29,11,0.500,185
"ABBA/Does Your Mother Know.3.mid",T,73,Flute,410,1.00,62,17,34,0.542,151
"ABBA/Does Your Mother Know.3.mid",F,72,Piccolo,424,0.40,66,25,28,0.625,262
"ABBA/Does Your Mother Know.3.mid",F,39,Synth Bass 2,182,0.71,39,14,2,0.250,101
"ABBA/Does Your Mother Know.3.mid",F,53,Voice Oohs,181,1.00,43,2,2,0.229,102
"ABBA/Does Your Mother Know.3.mid",F,7,Clav,138,1.00,63,24,5,0.271,66
"ABBA/Does Your Mother Know.3.mid",F,64,Soprano Sax,57,1.00,68,3,4,0.615,16
"ABBA/Does Your Mother Know.3.mid",F,67,Baritone Sax,236,0.90,49,26,4,0.562,37
"ABBA/Does Your Mother Know.3.mid",F,53,Voice Oohs,181,1.00,43,2,2,0.229,101
"ABBA/Fernando.6.mid",F,25,Acoustic Guitar (steel),1021,0.31,62,31,17,0.393,319
"ABBA/Fernando.6.mid",F,35,Fretless Bass,436,1.00,40,34,19,0.596,31
"ABBA/Fernando.6.mid",F,46,Orchestral Strings,393,1.00,75,7,4,0.305,57
"ABBA/Fernando.6.mid",T,82,Lead 3 (calliope),429,1.00,76,12,34,0.604,136
"ABBA/Fernando.6.mid",F,71,Clarinet,362,0.53,62,21,26,0.828,120
